,Acc_SA,F1_SA,F1_ESA,F1_ISA,default,mode
0,73.333,67.78,67.577,63.492,67.78,valid
1,75.333,70.962,68.819,59.596,70.962,valid
2,74.667,70.842,70.126,47.563,70.842,valid
3,79.333,75.126,76.964,57.407,75.126,valid
4,77.333,72.271,75.821,49.646,72.271,valid
5,78.667,75.953,76.765,58.643,75.953,valid
6,73.333,71.052,72.458,51.696,71.052,valid
7,78.0,76.602,79.611,55.556,76.602,valid
8,68.667,67.56,72.061,41.299,67.56,valid
9,78.667,77.491,79.148,57.974,77.491,valid
10,78.667,74.92,78.784,53.865,74.92,valid
11,78.0,74.063,77.244,52.857,74.063,valid
12,79.333,76.802,78.003,58.643,76.802,valid
13,83.333,81.13,84.953,58.647,81.13,valid
14,80.667,77.829,79.711,58.647,77.829,valid
15,80.667,78.29,79.259,61.111,78.29,valid
16,78.667,75.045,77.568,54.604,75.045,valid
17,76.667,74.218,76.363,54.604,74.218,valid
18,78.667,75.991,78.816,54.604,75.991,valid
19,78.0,74.964,77.389,54.604,74.964,valid
20,76.646,72.847,67.205,59.904,72.847,test
21,76.646,72.847,67.205,59.904,72.847,test
