,Acc_SA,F1_SA,F1_ESA,F1_ISA,default,mode
0,73.333,68.557,71.995,47.294,68.557,valid
1,78.667,75.755,75.85,70.085,75.755,valid
2,79.333,76.372,73.695,71.521,76.372,valid
3,78.667,76.499,76.896,60.855,76.499,valid
4,79.333,74.989,74.674,70.548,74.989,valid
5,76.0,72.802,76.477,49.089,72.802,valid
6,81.333,78.106,80.611,59.308,78.106,valid
7,84.0,80.561,81.042,68.788,80.561,valid
8,78.667,75.746,76.575,67.879,75.746,valid
9,80.0,77.105,81.389,59.265,77.105,valid
10,81.333,79.37,80.994,71.429,79.37,valid
11,81.333,79.119,80.024,69.22,79.119,valid
12,80.0,77.652,80.449,56.798,77.652,valid
13,80.0,77.352,79.781,56.798,77.352,valid
14,80.0,77.269,79.818,57.672,77.269,valid
15,79.333,77.263,78.507,60.534,77.263,valid
16,80.667,78.059,78.907,66.796,78.059,valid
17,79.333,76.912,79.459,56.798,76.912,valid
18,80.0,77.593,79.459,58.643,77.593,valid
19,80.0,77.593,79.459,58.643,77.593,valid
20,76.489,71.651,64.472,57.907,71.651,test
21,76.489,71.651,64.472,57.907,71.651,test
