,Acc_SA,F1_SA,F1_ESA,F1_ISA,default,mode
0,62.0,58.746,57.894,45.039,58.746,valid
1,68.667,66.211,59.392,54.937,66.211,valid
2,71.333,70.615,65.793,55.305,70.615,valid
3,74.0,73.049,71.399,58.746,73.049,valid
4,72.0,69.688,72.667,51.78,69.688,valid
5,67.333,63.806,65.858,45.281,63.806,valid
6,68.667,66.27,67.515,47.86,66.27,valid
7,70.667,68.275,68.604,51.493,68.275,valid
8,69.333,68.197,71.392,50.045,68.197,valid
9,66.667,64.997,70.303,48.036,64.997,valid
10,68.0,66.623,69.991,49.715,66.623,valid
11,68.0,66.037,72.033,46.4,66.037,valid
12,70.0,68.238,74.51,48.102,68.238,valid
13,70.667,68.524,73.072,50.467,68.524,valid
14,70.667,69.027,74.057,50.675,69.027,valid
15,70.667,69.063,70.426,53.316,69.063,valid
16,70.667,69.139,70.426,54.539,69.139,valid
17,70.0,68.481,74.51,48.258,68.481,valid
18,71.333,69.673,75.659,50.523,69.673,valid
19,71.333,69.673,75.659,50.523,69.673,valid
20,85.089,76.626,76.083,63.36,76.626,test
21,85.089,76.626,76.083,63.36,76.626,test
